syn	length	gc
ENSG00000265961.1	Y_RNA	114	0.421
ENSG00000264078.1	AC114488.2	480	0.521
ENSG00000266580.1	MIR4254	76	0.658
ENSG00000254545.1	AL354919.2	537	0.654
ENSG00000203620.2	AL354919.1	2257	0.508
ENSG00000269967.1	AL136115.2	587	0.39
ENSG00000228634.1	AL136115.1	517	0.433
ENSG00000284702.1	AL136115.3	1873	0.487
ENSG00000203325.3	AL445248.1	624	0.511
ENSG00000266203.1	MIR5585	59	0.508
ENSG00000276493.1	Metazoa_SRP	291	0.519
ENSG00000250135.1	AL049795.2	667	0.504
ENSG00000183615.6	FAM167B	947	0.631
ENSG00000277617.1	Metazoa_SRP	260	0.531
ENSG00000252450.1	Y_RNA	110	0.391
ENSG00000175130.7	MARCKSL1	1546	0.581
ENSG00000233775.1	AL109945.1	687	0.539
ENSG00000224333.1	GAPDHP20	1007	0.492
ENSG00000270850.1	AL356986.1	341	0.463
ENSG00000229259.1	LRRC37A12P	1801	0.518
ENSG00000263529.2	RN7SL122P	301	0.528
ENSG00000254553.1	AL033529.1	3447	0.485
ENSG00000273274.2	ZBTB8B	12831	0.434
ENSG00000200591.1	AC114489.1	102	0.382
ENSG00000224409.1	AC114489.2	395	0.562
ENSG00000287691.1	AL031602.2	575	0.529
ENSG00000217644.5	AL355864.1	526	0.544
ENSG00000239670.1	AL355864.2	863	0.553
ENSG00000236065.2	AL020995.1	1680	0.427
ENSG00000276645.1	Metazoa_SRP	345	0.499
ENSG00000278997.1	AL662907.1	1360	0.491
ENSG00000279179.1	AL662907.2	3448	0.54
ENSG00000270115.1	AL513327.2	469	0.482
ENSG00000184389.9	A3GALT2	1023	0.667
ENSG00000284154.1	MIR3605	100	0.55
ENSG00000222112.1	RN7SKP16	299	0.542
ENSG00000233246.1	PHC2-AS1	490	0.512
ENSG00000234512.1	TLR12P	2706	0.563
ENSG00000235907.2	AC115285.1	736	0.394
ENSG00000227000.2	HSPD1P14	1618	0.399
ENSG00000201148.1	RNA5SP42	115	0.496
ENSG00000270241.1	AC115286.1	434	0.456
ENSG00000287703.1	AC099565.1	1426	0.483
ENSG00000207941.1	MIR552	96	0.375
ENSG00000189280.3	GJB5	1355	0.568
ENSG00000189433.7	GJB4	1444	0.571
ENSG00000255811.1	AL121988.1	560	0.591
ENSG00000230163.1	AL122010.1	720	0.49
ENSG00000284773.1	AC114490.3	3163	0.525
ENSG00000271741.1	AC114490.2	3099	0.427
ENSG00000243749.1	TMEM35B	922	0.465
ENSG00000233940.1	RPL12P45	478	0.46
ENSG00000228348.1	EFCAB14P1	463	0.469
ENSG00000284640.1	AL590434.1	1886	0.432
ENSG00000201868.1	Y_RNA	94	0.447
ENSG00000240374.3	RN7SL503P	303	0.535
ENSG00000201542.1	SNORA62	152	0.362
ENSG00000229994.1	RPL5P4	886	0.428
ENSG00000227409.1	ZMYM4-AS1	459	0.368
ENSG00000278702.1	Metazoa_SRP	323	0.483
ENSG00000236274.1	AC004865.1	1003	0.388
ENSG00000232335.1	AL354864.1	539	0.388
ENSG00000271164.1	CFAP97P1	483	0.416
ENSG00000286899.1	AL139286.2	1802	0.393
ENSG00000271914.1	AL139286.1	396	0.318
ENSG00000116863.11	ADPRS	1651	0.588
ENSG00000264592.2	RN7SL131P	256	0.57
ENSG00000231849.1	UBE2V2P4	259	0.355
ENSG00000286379.1	AL591845.1	4878	0.499
ENSG00000222821.1	RNU4-27P	139	0.403
ENSG00000201448.1	SNORA63C	129	0.403
ENSG00000230214.1	FTLP18	523	0.524
ENSG00000284705.1	AL596257.1	2694	0.538
ENSG00000284720.1	AC117945.2	1521	0.506
ENSG00000284650.1	AL031430.1	1039	0.43
ENSG00000264698.1	MIR4255	72	0.472
ENSG00000207328.1	RNU6-636P	107	0.355
ENSG00000252368.1	RNA5SP43	110	0.464
ENSG00000230451.2	RPS29P6	145	0.524
ENSG00000283724.1	MIR6732	60	0.667
ENSG00000263675.1	MIR5581	60	0.483
ENSG00000232273.1	FTH1P1	532	0.487
ENSG00000237749.4	AL034379.1	253	0.498
ENSG00000284748.1	AL513220.1	1326	0.518
ENSG00000200421.1	Y_RNA	100	0.41
ENSG00000214141.4	ACTN4P2	1892	0.536
ENSG00000227416.2	AL929472.1	429	0.541
ENSG00000233728.1	AL929472.3	700	0.524
ENSG00000196449.4	YRDC	1848	0.53
ENSG00000235673.1	AL929472.4	691	0.556
ENSG00000230955.1	AL929472.2	481	0.468
ENSG00000252448.1	SNORA63	81	0.37
ENSG00000222282.1	RNU6-584P	95	0.347
ENSG00000277168.1	Metazoa_SRP	273	0.582
ENSG00000212541.1	RNU6-510P	108	0.38
ENSG00000185668.8	POU3F1	2965	0.631
ENSG00000223589.2	AL139158.1	340	0.429
ENSG00000265596.1	MIR3659	99	0.475
ENSG00000284623.1	LINC02786	1562	0.559
ENSG00000286552.1	AL390839.1	1033	0.463
ENSG00000287987.1	AL390839.2	1235	0.516
ENSG00000275350.1	AL513479.1	585	0.475
ENSG00000200796.1	RNU6-753P	107	0.364
ENSG00000215895.4	HSPA5P1	1960	0.464
ENSG00000273637.1	AL139260.2	2171	0.428
ENSG00000199963.1	RNU6-605P	108	0.407
ENSG00000207466.1	Y_RNA	101	0.446
ENSG00000235549.1	EIF1P2	350	0.406
ENSG00000206654.1	RNU6-608P	104	0.423
ENSG00000222378.1	RNA5SP44	133	0.526
ENSG00000287422.1	AL442071.2	1941	0.401
ENSG00000226438.1	AL442071.1	558	0.423
ENSG00000217897.2	HSPE1P8	288	0.417
ENSG00000183682.8	BMP8A	5636	0.575
ENSG00000237624.1	OXCT2P1	1535	0.633
ENSG00000201457.1	SNORA55	135	0.519
ENSG00000163909.8	HEYL	4077	0.559
ENSG00000225903.1	AL035404.2	304	0.507
ENSG00000116981.3	NT5C1A	1107	0.6
ENSG00000225333.6	AL035404.1	568	0.408
ENSG00000252413.1	RNU7-121P	62	0.323
ENSG00000116985.12	BMP8B	4826	0.561
ENSG00000198754.5	OXCT2	1826	0.634
ENSG00000285905.1	BMP8B-AS1	1218	0.519
ENSG00000261798.1	AL033527.2	1196	0.641
ENSG00000229213.1	AL033527.1	154	0.539
ENSG00000284678.1	LINC02811	673	0.499
ENSG00000202222.1	Y_RNA	113	0.416
ENSG00000236546.1	MYCL-AS1	785	0.508
ENSG00000207356.1	Y_RNA	109	0.44
ENSG00000228477.1	AL663070.1	725	0.577
ENSG00000226745.2	OAZ1P1	685	0.597
ENSG00000117000.9	RLF	6232	0.398
ENSG00000207508.1	RNU6-1237P	107	0.383
ENSG00000259943.1	AL050341.2	1541	0.404
ENSG00000231296.1	AL050341.1	313	0.374
ENSG00000227311.3	AL031985.2	480	0.431
ENSG00000213172.3	AL031985.1	418	0.455
ENSG00000284677.1	AL031985.4	673	0.532
ENSG00000260920.2	AL031985.3	2449	0.379
ENSG00000279667.1	AL603839.4	1005	0.367
ENSG00000238287.1	AL603839.3	605	0.395
ENSG00000227278.1	AL603839.1	432	0.47
ENSG00000238186.1	AL603839.2	546	0.403
ENSG00000286838.1	AL356379.2	720	0.415
ENSG00000236505.1	AL356379.1	126	0.484
ENSG00000233910.1	GTF2F2P2	721	0.463
ENSG00000287743.1	AL031289.2	1672	0.51
ENSG00000237899.1	AL031289.1	471	0.52
ENSG00000272145.1	NFYC-AS1	1687	0.496
ENSG00000198974.3	MIR30E	92	0.511
ENSG00000207962.1	MIR30C1	89	0.506
ENSG00000264582.2	RN7SL326P	296	0.53
ENSG00000179862.7	CITED4	1310	0.735
ENSG00000229528.1	AC119677.1	471	0.493
ENSG00000228940.1	AL391730.1	921	0.431
ENSG00000286668.1	AL391730.2	1354	0.477
ENSG00000233118.2	UBE2V1P8	265	0.381
ENSG00000281207.1	SLFNL1-AS1	4800	0.562
ENSG00000215893.3	RPL23AP17	499	0.505
ENSG00000287400.1	AC093151.7	4437	0.362
ENSG00000213987.4	AC093151.1	313	0.46
ENSG00000229901.1	FOXO6-AS1	394	0.5
ENSG00000252563.1	RNA5SP45	92	0.533
ENSG00000230881.1	AL445933.2	265	0.577
ENSG00000230638.4	AL445933.1	2242	0.5
ENSG00000284895.1	AC119676.1	81	0.481
ENSG00000287587.1	AL158216.1	1188	0.468
ENSG00000227538.1	HNRNPFP1	1133	0.579
ENSG00000228776.2	AC114492.1	454	0.427
ENSG00000044012.4	GUCA2B	604	0.629
ENSG00000197273.4	GUCA2A	597	0.591
ENSG00000227527.2	AC096540.1	661	0.483
ENSG00000235002.1	AL513331.1	397	0.436
ENSG00000230116.1	RPS3AP11	755	0.399
ENSG00000236876.3	TMSB4XP1	135	0.43
ENSG00000200254.1	RNU6-536P	107	0.411
ENSG00000236180.2	AL445669.1	421	0.368
ENSG00000234917.2	AC098484.2	601	0.434
ENSG00000228452.1	AC098484.1	484	0.457
ENSG00000233708.1	AL512353.2	1962	0.63
ENSG00000237090.1	AL512353.3	1326	0.472
ENSG00000225099.1	ATP6V1E1P1	681	0.427
ENSG00000284138.1	ATP6V0CP4	440	0.582
ENSG00000207256.1	RNU6-880P	107	0.411
ENSG00000283136.1	AL161637.2	89	0.371
ENSG00000277513.1	AL161637.1	412	0.449
ENSG00000284410.1	MIR6733	61	0.475
ENSG00000199240.1	RNA5SP46	120	0.475
ENSG00000287113.1	AL139289.2	557	0.557
ENSG00000234694.1	AL139289.1	661	0.552
ENSG00000283836.1	MIR6734	68	0.529
ENSG00000229431.1	MED8-AS1	731	0.458
ENSG00000229372.1	SZT2-AS1	699	0.615
ENSG00000274975.1	MIR6735	73	0.63
ENSG00000229348.1	HYI-AS1	545	0.398
ENSG00000284989.1	AL451062.3	4037	0.531
ENSG00000229444.1	AL451062.1	469	0.469
ENSG00000283414.1	U6	90	0.356
ENSG00000233674.2	AL451062.2	271	0.446
ENSG00000283477.1	MIR6079	62	0.452
ENSG00000224751.2	SHMT1P1	1312	0.537
ENSG00000237950.3	AL357079.1	2224	0.493
ENSG00000285649.1	AL357079.2	2044	0.527
ENSG00000227163.2	AL139220.1	520	0.494
ENSG00000271647.1	KRT8P47	1398	0.592
ENSG00000239560.3	RN7SL479P	300	0.547
ENSG00000233514.1	AL356653.1	360	0.444
ENSG00000283039.1	KLF18	3159	0.544
ENSG00000226804.4	AL359839.1	1160	0.422
ENSG00000200171.1	Y_RNA	96	0.448
ENSG00000238037.1	OOSP1P1	274	0.405
ENSG00000227994.1	AL035417.1	214	0.64
ENSG00000271329.1	AL035417.2	796	0.42
ENSG00000233602.1	ERI3-IT1	619	0.517
ENSG00000199385.1	RNU6-369P	102	0.422
ENSG00000263381.1	MIR5584	60	0.417
ENSG00000199377.1	RNU5F-1	117	0.35
ENSG00000200169.1	RNU5D-1	116	0.379
ENSG00000264294.1	SNORD55	80	0.588
ENSG00000200913.1	SNORD46	104	0.481
ENSG00000202031.1	SNORD38A	70	0.471
ENSG00000207421.1	SNORD38B	67	0.403
ENSG00000281859.1	SNORD38B	69	0.406
ENSG00000234093.3	RPS15AP11	385	0.465
ENSG00000142959.5	BEST4	2512	0.582
ENSG00000202444.1	RNU5E-6P	115	0.374
ENSG00000226499.1	AL136380.1	162	0.537
ENSG00000253039.1	RNA5SP47	109	0.45
ENSG00000229815.1	CCNB1IP1P1	839	0.431
ENSG00000232369.1	PPIAP35	492	0.5
ENSG00000268949.1	MRPS17P1	3130	0.418
ENSG00000234315.1	OSTCP5	453	0.437
ENSG00000281912.1	LINC01144	1710	0.569
ENSG00000186603.6	HPDL	1785	0.608
ENSG00000288208.1	AL451136.1	2768	0.574
ENSG00000236872.1	PPIAP36	325	0.483
ENSG00000234379.1	HMGB1P48	598	0.411
ENSG00000281133.1	AL355480.3	96	0.615
ENSG00000280836.1	AL355480.1	99	0.525
ENSG00000281112.1	AL355480.2	84	0.643
ENSG00000281825.1	AL355480.4	69	0.609
ENSG00000225447.1	RPS15AP10	382	0.432
ENSG00000234329.1	AL604028.2	788	0.501
ENSG00000230896.1	AL604028.1	598	0.361
ENSG00000236111.5	AL603882.1	681	0.463
ENSG00000232467.2	TMA16P2	601	0.373
ENSG00000278139.1	P3R3URF-PIK3R3	1553	0.458
ENSG00000226957.1	AL358075.1	649	0.385
ENSG00000233114.2	AL358075.3	226	0.425
ENSG00000227857.2	AL358075.2	339	0.392
ENSG00000250719.2	P3R3URF	405	0.573
ENSG00000171357.6	LURAP1	1849	0.541
ENSG00000225779.1	AL122001.1	370	0.349
ENSG00000282881.2	TMEM275	1633	0.655
ENSG00000233647.2	NENFP1	466	0.504
ENSG00000236476.2	AL593856.1	805	0.407
ENSG00000238145.2	AL731892.1	1192	0.48
ENSG00000259832.1	CYP4A26P	196	0.536
ENSG00000261196.1	CYP4A43P	121	0.554
ENSG00000261593.1	CYP4A27P	190	0.458
ENSG00000261290.1	CYP4A44P	154	0.435
ENSG00000225154.2	AL450996.1	1202	0.48
ENSG00000225506.2	CYP4A22-AS1	921	0.512
ENSG00000225514.1	MTND1P34	671	0.308
ENSG00000224805.2	LINC00853	661	0.543
ENSG00000226252.1	AL135960.1	4036	0.521
ENSG00000225762.1	LINC01389	483	0.466
ENSG00000186790.6	FOXE3	1768	0.687
ENSG00000237424.1	FOXD2-AS1	2509	0.587
ENSG00000186564.6	FOXD2	2648	0.655
ENSG00000271355.1	AL356458.1	465	0.563
ENSG00000229554.2	RPL21P24	448	0.42
ENSG00000227883.1	ATP6V0E1P4	242	0.438
ENSG00000227947.2	LINC01738	1461	0.491
ENSG00000223814.1	AL691459.1	407	0.56
ENSG00000225028.1	AC096541.1	1807	0.525
ENSG00000231413.1	AL356289.1	292	0.442
ENSG00000237180.1	CYP46A4P	267	0.667
ENSG00000223720.2	AL109659.1	651	0.513
ENSG00000272491.1	AL109659.2	1674	0.536
ENSG00000279214.1	AL109659.3	950	0.295
ENSG00000224986.2	PPP1R8P1	1044	0.489
ENSG00000206700.1	RNU6-723P	107	0.374
ENSG00000235105.1	AL356968.2	1257	0.433
ENSG00000223175.1	RNU4-61P	107	0.327
ENSG00000232514.1	AL356968.1	474	0.443
ENSG00000287661.1	AL391844.1	1861	0.452
ENSG00000286597.1	AL645507.1	573	0.431
ENSG00000229846.2	AC099788.1	793	0.369
ENSG00000230114.1	AGBL4-AS1	566	0.428
ENSG00000225623.1	AGBL4-IT1	514	0.399
ENSG00000237478.2	AL390023.1	262	0.477
ENSG00000215887.5	ZNF859P	1966	0.514
ENSG00000279324.1	AL645730.1	1901	0.477
ENSG00000233595.2	MTND2P29	412	0.367
ENSG00000230828.1	AL583843.1	346	0.425
ENSG00000237337.1	ELAVL4-AS1	858	0.422
ENSG00000233407.1	AL592182.1	250	0.372
ENSG00000284645.1	AL592182.2	3304	0.431
ENSG00000234080.3	AL596275.1	877	0.601
ENSG00000229316.1	HMGB1P45	653	0.415
ENSG00000225671.2	FCF1P6	595	0.395
ENSG00000284700.1	AL049637.1	930	0.6
ENSG00000225767.1	FAF1-AS1	503	0.394
ENSG00000207194.1	RNU6-1026P	108	0.38
ENSG00000230585.2	PHBP12	811	0.503
ENSG00000237130.1	MRPS6P2	370	0.451
ENSG00000265538.1	MIR4421	69	0.507
ENSG00000275816.1	MIR6500	86	0.558
ENSG00000200262.1	Y_RNA	110	0.445
ENSG00000213478.2	CFL1P2	684	0.56
ENSG00000203356.2	LINC01562	2366	0.442
ENSG00000233406.5	AL162430.1	870	0.609
ENSG00000236434.2	AL162430.2	435	0.464
ENSG00000232027.2	AL671986.1	955	0.441
ENSG00000206595.1	RNU6-877P	107	0.402
ENSG00000238140.1	AC104170.1	678	0.381
ENSG00000252032.1	RNU6-1281P	105	0.371
ENSG00000236973.2	GAPDHP51	1000	0.502
ENSG00000232846.1	SLC25A6P3	879	0.565
ENSG00000212624.1	AL050343.1	122	0.459
ENSG00000272175.1	AL050343.3	280	0.357
ENSG00000283899.1	MIR761	59	0.542
ENSG00000230604.2	TSEN15P2	358	0.419
ENSG00000169213.7	RAB3B	12780	0.447
ENSG00000200839.1	RNA5SP48	126	0.452
ENSG00000229032.1	AL445685.2	342	0.491
ENSG00000264613.2	RN7SL290P	300	0.53
ENSG00000285839.1	AL445685.3	1986	0.475
ENSG00000198841.4	KTI12	1708	0.553
ENSG00000223390.1	AL445685.1	762	0.57
ENSG00000228369.2	TXNDC12-AS1	391	0.455
ENSG00000241745.3	RN7SL788P	316	0.551
ENSG00000228407.2	AL139156.2	340	0.435
ENSG00000223429.1	AL139156.1	841	0.439
ENSG00000224255.2	PDCL3P6	706	0.448
ENSG00000236004.2	AL139156.3	394	0.396
ENSG00000237663.2	DNAJC19P7	344	0.387
ENSG00000213735.2	ANAPC10P1	556	0.392
ENSG00000272100.1	AL513218.1	391	0.529
ENSG00000287078.1	AL513218.2	939	0.46
ENSG00000224680.4	PLA2G12AP1	568	0.502
ENSG00000272371.1	AL591167.1	456	0.434
ENSG00000236290.1	EEF1GP7	703	0.495
ENSG00000233664.1	NDUFS5P3	321	0.449
ENSG00000239640.3	RN7SL62P	297	0.525
ENSG00000252018.1	RNU2-30P	141	0.404
ENSG00000228929.1	RPS13P2	455	0.451
ENSG00000206627.1	RNU6-969P	105	0.381
ENSG00000242391.2	AC099677.3	380	0.408
ENSG00000230953.2	AC099677.1	175	0.486
ENSG00000231866.2	AC099677.2	175	0.337
ENSG00000264834.1	AC099677.4	99	0.586
ENSG00000266188.1	AC099677.6	88	0.625
ENSG00000265815.1	AC099677.5	100	0.53
ENSG00000237279.2	H3P2	395	0.466
ENSG00000236360.2	RRAS2P1	502	0.418
ENSG00000226147.1	TUBBP10	1301	0.53
ENSG00000232993.1	AL445183.1	467	0.561
ENSG00000227644.2	HIGD1AP11	280	0.446
ENSG00000235563.1	AL445183.2	1871	0.592
ENSG00000277397.1	AL606760.4	718	0.481
ENSG00000259818.1	AL606760.3	3591	0.471
ENSG00000234578.1	AL355483.3	470	0.411
ENSG00000228838.1	AL355483.1	675	0.584
ENSG00000232762.1	AL355483.2	752	0.569
ENSG00000225675.2	LINC01771	567	0.504
ENSG00000285954.1	AC119428.2	886	0.529
ENSG00000226938.1	AC119428.1	383	0.559
ENSG00000288527.1	AL365445.1	79	0.595
ENSG00000239007.1	RNU7-95P	64	0.438
ENSG00000201003.1	AL049745.1	136	0.478
ENSG00000229687.2	AL049745.2	286	0.483
ENSG00000219102.3	HNRNPA3P12	1063	0.437
ENSG00000280378.1	AL353898.3	1755	0.478
ENSG00000283749.1	MIR4781	76	0.539
ENSG00000225183.1	AL353898.1	238	0.445
ENSG00000279049.1	AL353898.2	255	0.541
ENSG00000280425.2	AL357673.2	4969	0.531
ENSG00000198711.5	SSBP3-AS1	2624	0.498
ENSG00000225632.1	AL161644.1	1111	0.539
ENSG00000232245.1	AL035415.1	289	0.488
ENSG00000287582.1	AC099796.2	1051	0.512
ENSG00000235741.1	LINC02784	683	0.504
ENSG00000237173.1	AC099796.1	108	0.509
ENSG00000227453.1	HNRNPA1P63	963	0.459
ENSG00000230728.1	AL590093.1	623	0.543
ENSG00000162396.6	PARS2	2356	0.54
ENSG00000237453.1	AC096536.1	343	0.51
ENSG00000287724.1	AC096536.3	831	0.496
ENSG00000242396.1	AC096536.2	575	0.614
ENSG00000143001.5	TMEM61	1256	0.657
ENSG00000233271.1	AL590440.1	428	0.561
ENSG00000162399.9	BSND	9761	0.527
ENSG00000231095.1	GYG1P3	994	0.451
ENSG00000265822.1	MIR4422	83	0.506
ENSG00000231900.3	GOT2P1	1309	0.481
ENSG00000232198.2	MTCO2P34	607	0.356
ENSG00000199831.1	RN7SKP291	327	0.517
ENSG00000252162.1	RNU6-830P	107	0.364
ENSG00000272051.1	Y_RNA	102	0.441
ENSG00000227104.3	PIGQP1	430	0.588
ENSG00000235612.1	AL353681.1	731	0.42
ENSG00000229871.1	RPSAP20	890	0.457
ENSG00000236776.1	RPL21P23	460	0.43
ENSG00000224980.1	RPL23AP85	433	0.478
ENSG00000225475.1	AC099789.1	141	0.546
ENSG00000229913.1	AL360295.1	1824	0.458
ENSG00000157131.11	C8A	2367	0.465
ENSG00000236341.1	AL161740.1	610	0.507
ENSG00000227935.1	AL390243.1	708	0.431
ENSG00000236888.1	RPS20P5	360	0.419
ENSG00000223416.3	RPS26P15	348	0.529
ENSG00000235038.1	AL445193.2	620	0.448
ENSG00000230546.1	AL445193.1	141	0.447
ENSG00000233216.1	AL357373.1	322	0.522
ENSG00000286918.1	AL035411.3	1791	0.39
ENSG00000270209.1	AL035411.2	421	0.411
ENSG00000264128.2	RN7SL713P	302	0.536
ENSG00000184292.7	TACSTD2	1820	0.582
ENSG00000185839.3	AL035411.1	690	0.525
ENSG00000177606.7	JUN	3257	0.561
ENSG00000272226.1	AL136985.2	535	0.465
ENSG00000231740.1	AL136985.1	395	0.43
ENSG00000228121.1	PHBP3	819	0.534
ENSG00000241042.1	AL592431.2	171	0.398
ENSG00000235215.2	AL592431.1	317	0.467
ENSG00000270457.1	AC093424.1	338	0.311
ENSG00000266150.1	MIR4711	70	0.471
ENSG00000226883.1	AL035416.1	767	0.464
ENSG00000265535.2	RN7SL475P	298	0.503
ENSG00000229332.2	PGBD4P8	562	0.438
ENSG00000284808.1	AC099791.3	2442	0.438
ENSG00000287224.1	AC099791.4	1416	0.439
ENSG00000223920.2	AC099791.1	715	0.614
ENSG00000271200.1	AC099791.2	427	0.611
ENSG00000200575.1	RNU6-414P	104	0.423
ENSG00000212360.1	RNU6-1177P	104	0.404
ENSG00000236646.1	LAMTOR5P1	270	0.485
ENSG00000242860.3	RN7SL180P	294	0.52
ENSG00000263908.1	MIR3116-1	74	0.459
ENSG00000283690.1	MIR3116-2	68	0.471
ENSG00000234204.1	PIGPP2	458	0.4
ENSG00000234088.1	RPS15AP7	405	0.41
ENSG00000240563.2	L1TD1	3831	0.404
ENSG00000237227.1	AL162739.1	307	0.515
ENSG00000200174.1	Y_RNA	110	0.436
ENSG00000201153.1	RNU6-371P	108	0.37
ENSG00000270549.1	AL451044.1	238	0.525
ENSG00000278967.1	AL138847.2	1819	0.351
ENSG00000213703.2	AL138847.1	546	0.507
ENSG00000235545.1	AC103923.1	1228	0.424
ENSG00000234318.1	AC099794.1	447	0.517
ENSG00000237163.1	AC099794.2	303	0.492
ENSG00000286455.1	AL162400.3	1126	0.442
ENSG00000227485.1	AL162400.1	359	0.351
ENSG00000229225.1	AL162400.2	157	0.478
ENSG00000203605.3	AC096543.1	823	0.433
ENSG00000252259.1	RNA5SP49	115	0.409
ENSG00000228734.2	AC096543.2	859	0.404
ENSG00000223683.1	RPSAP65	595	0.496
ENSG00000187140.6	FOXD3	2562	0.662
ENSG00000275836.1	MIR6068	60	0.717
ENSG00000252784.1	Y_RNA	110	0.464
ENSG00000236674.1	AL049636.1	1357	0.414
ENSG00000286429.1	BX004807.1	1206	0.337
ENSG00000264271.2	RN7SL488P	286	0.514
ENSG00000251720.1	RNU7-123P	60	0.35
ENSG00000116652.6	DLEU2L	3555	0.359
ENSG00000276884.1	AL109925.3	136	0.441
ENSG00000278287.1	AL109925.6	84	0.417
ENSG00000277565.1	AL109925.4	58	0.328
ENSG00000275823.1	AL109925.2	73	0.315
ENSG00000277689.1	AL109925.5	90	0.356
ENSG00000274199.1	AL109925.1	120	0.3
ENSG00000244256.3	RN7SL130P	305	0.544
ENSG00000177452.7	AL161742.1	584	0.51
ENSG00000228056.3	CFL1P3	490	0.527
ENSG00000207190.1	RNU6-809P	107	0.393
ENSG00000200508.1	AL138793.1	102	0.412
ENSG00000284928.1	AL445205.1	1031	0.514
ENSG00000238653.1	RNU7-62P	62	0.371
ENSG00000264470.1	MIR4794	77	0.39
ENSG00000234784.2	AL606517.2	241	0.456
ENSG00000233877.2	AL606517.1	387	0.346
ENSG00000185031.6	SLC2A3P2	1480	0.468
ENSG00000272506.1	AL357078.2	618	0.409
ENSG00000212257.1	RNU6-1176P	107	0.28
ENSG00000265996.1	MIR3671	88	0.273
ENSG00000199135.1	MIR101-1	75	0.453
ENSG00000235804.2	AL357078.1	427	0.398
ENSG00000234496.2	MRPS21P1	223	0.507
ENSG00000231622.1	RPS29P7	171	0.497
ENSG00000229294.1	AL139294.1	512	0.385
ENSG00000234144.1	COX6CP13	226	0.425
ENSG00000222624.1	RNU2-15P	191	0.387
ENSG00000237852.1	AC119800.1	423	0.369
ENSG00000224570.1	AC097063.1	1797	0.443
ENSG00000285079.1	AL513493.1	2316	0.367
ENSG00000239319.3	RN7SL854P	295	0.525
ENSG00000227466.1	PDE4B-AS1	456	0.382
ENSG00000223152.1	RNU4-88P	86	0.372
ENSG00000264720.3	MIR3117	78	0.462
ENSG00000248458.2	AL139147.1	1156	0.388
ENSG00000172410.4	INSL5	715	0.424
ENSG00000231080.1	AL592161.1	861	0.309
ENSG00000116704.8	SLC35D1	6193	0.418
ENSG00000252433.1	AL133320.1	135	0.4
ENSG00000275678.1	AL133320.2	2352	0.385
ENSG00000253074.1	RNU6-586P	104	0.423
ENSG00000252116.1	RNU4ATAC4P	126	0.405
ENSG00000228523.1	DNAJB6P4	728	0.404
ENSG00000223263.1	RNU6-387P	105	0.343
ENSG00000207504.1	RNU6-1031P	107	0.383
ENSG00000238139.2	AL590559.1	374	0.54
ENSG00000242482.3	RN7SL392P	299	0.462
ENSG00000232048.2	HNRNPCP9	859	0.474
ENSG00000238778.1	RNU7-80P	61	0.41
ENSG00000235055.3	AL157407.1	904	0.542
ENSG00000228431.1	ARL5AP3	386	0.355
ENSG00000234383.1	CTBP2P8	1330	0.559
ENSG00000221203.1	MIR1262	93	0.355
ENSG00000229133.1	RPS7P4	582	0.462
ENSG00000225242.2	COX6B1P7	235	0.494
ENSG00000237622.1	ELOCP18	337	0.407
ENSG00000229440.1	AL139413.1	217	0.415
ENSG00000116745.7	RPE65	2605	0.38
ENSG00000233589.1	AL138789.1	960	0.349
ENSG00000234264.1	DEPDC1-AS1	1247	0.355
ENSG00000225167.1	TXNP2	295	0.369
ENSG00000285041.1	AL035412.1	2636	0.382
ENSG00000285473.1	AL691520.1	716	0.367
ENSG00000229639.1	LINC01758	458	0.376
ENSG00000287453.1	AL359894.1	549	0.397
ENSG00000270615.1	SGO1P1	1447	0.341
ENSG00000287283.1	AL117353.1	2154	0.384
ENSG00000240692.3	RN7SL538P	304	0.52
ENSG00000066557.6	LRRC40	2843	0.347
ENSG00000244389.3	RN7SL242P	297	0.535
ENSG00000228988.1	AL353771.1	457	0.317
ENSG00000226088.1	HHLA3-AS1	575	0.397
ENSG00000278636.1	AL354872.2	283	0.548
ENSG00000271992.1	AL354872.1	466	0.384
ENSG00000233020.1	CHORDC1P5	967	0.4
ENSG00000237033.2	CASP3P1	609	0.378
ENSG00000226208.1	AL513285.1	432	0.447
ENSG00000235782.1	AL031429.1	749	0.372
ENSG00000269933.1	AL031429.2	649	0.365
ENSG00000207721.1	MIR186	86	0.36
ENSG00000226324.1	AL358453.1	250	0.496
ENSG00000231985.1	AL354949.1	170	0.347
ENSG00000271618.1	AL359821.1	182	0.511
ENSG00000228853.1	NEGR1-IT1	534	0.38
ENSG00000233994.2	GDI2P2	608	0.446
ENSG00000227207.2	RPL31P12	358	0.43
ENSG00000212366.1	RNU6-1246P	107	0.402
ENSG00000227016.3	LINC02796	1382	0.376
ENSG00000285808.1	LINC02797	1065	0.41
ENSG00000280317.1	AL732618.1	301	0.449
ENSG00000229636.2	KRT8P21	1491	0.571
ENSG00000251825.1	RN7SKP19	252	0.456
ENSG00000200601.1	RNA5SP50	107	0.43
ENSG00000252005.2	RNU4ATAC8P	109	0.358
ENSG00000162621.6	LRRC53	3859	0.417
ENSG00000272864.1	AC135803.1	565	0.299
ENSG00000229943.1	AC133865.1	339	0.381
ENSG00000261213.1	AC099786.3	1410	0.304
ENSG00000224127.1	AC099786.1	670	0.451
ENSG00000224149.1	AC099786.2	2203	0.535
