Geneid	syn	length	gc
ENST00000614019.2	ENSG00000276835.2	MIR6127	109	0.55
ENST00000581646.1	ENSG00000265422.1	MIR4684	82	0.524
ENST00000419644.1	ENSG00000225952.1	AL512444.1	480	0.525
ENST00000581187.1	ENSG00000264014.1	MIR4253	68	0.647
ENST00000427154.1	ENSG00000240553.1	AL031428.1	666	0.495
ENST00000577915.1	ENSG00000263793.1	MIR3115	68	0.412
ENST00000583845.1	ENSG00000266802.1	AL031428.2	77	0.597
ENST00000450968.1	ENSG00000229010.1	AL161672.1	818	0.581
ENST00000384208.1	ENSG00000206935.1	RNU6-514P	107	0.383
ENST00000516769.1	ENSG00000252578.1	RNU6-135P	101	0.426
ENST00000374619.1	ENSG00000179546.4	HTR1D	2835	0.487
ENST00000442089.1	ENSG00000215381.3	AL109936.2	460	0.557
ENST00000641772.1	ENSG00000284726.1	AL109936.8	604	0.44
ENST00000364535.1	ENSG00000201405.1	AL109936.1	93	0.387
ENST00000605350.1	ENSG00000271420.1	AL109936.3	650	0.448
ENST00000445848.2	ENSG00000232482.2	AL357134.1	426	0.413
ENST00000451217.1	ENSG00000235052.1	AL021154.1	456	0.428
ENST00000648225.1	ENSG00000285802.1	AL450043.1	1322	0.483
ENST00000451300.2	ENSG00000229239.2	AL451000.1	1186	0.533
ENST00000374479.4	ENSG00000179163.12	FUCA1	2043	0.483
ENST00000374472.5	ENSG00000188822.8	CNR2	5265	0.478
ENST00000412176.1	ENSG00000229106.1	BTBD6P1	1267	0.582
ENST00000411815.3	ENSG00000232557.3	AL590609.2	210	0.452
ENST00000578143.1	ENSG00000264926.1	MIR378F	78	0.526
ENST00000421430.2	ENSG00000230228.2	H3P1	368	0.486
ENST00000442164.2	ENSG00000215905.4	AL590609.1	328	0.543
ENST00000439239.2	ENSG00000225315.2	AL591178.1	454	0.542
ENST00000429191.1	ENSG00000230703.1	MYOM3-AS1	461	0.497
ENST00000270800.2	ENSG00000142677.4	IL22RA1	2817	0.572
ENST00000439059.2	ENSG00000230023.2	LINC02800	1849	0.513
ENST00000437965.1	ENSG00000232298.2	GRHL3-AS1	856	0.553
ENST00000577528.1	ENSG00000264443.1	NCMAP-DT	1445	0.454
ENST00000443086.2	ENSG00000227312.2	AL445686.1	348	0.425
ENST00000459380.1	ENSG00000239106.1	Y_RNA	103	0.408
ENST00000641176.1	ENSG00000284699.1	AL445648.1	886	0.482
ENST00000459588.1	ENSG00000238482.1	RNU6-1208P	107	0.374
ENST00000614863.1	ENSG00000278034.1	MIR6731	72	0.597
ENST00000456316.1	ENSG00000229162.1	RUNX3-AS1	820	0.516
ENST00000568143.1	ENSG00000261025.1	AL445471.1	2443	0.555
ENST00000580572.1	ENSG00000264371.1	MIR4425	84	0.44
ENST00000413189.1	ENSG00000233419.3	IFITM3P7	402	0.567
ENST00000455902.2	ENSG00000231953.2	AL031432.1	988	0.427
ENST00000641729.1	ENSG00000284602.1	AL031432.4	2190	0.461
ENST00000641059.1	ENSG00000284657.1	AL031432.5	760	0.562
ENST00000607698.1	ENSG00000272432.1	AL031432.3	485	0.53
ENST00000566714.1	ENSG00000261349.1	AL031432.2	459	0.601
ENST00000414693.1	ENSG00000224183.1	SDHDP6	480	0.54
ENST00000570165.1	ENSG00000259984.1	AL928711.1	459	0.601
ENST00000419297.2	ENSG00000238084.4	AL031284.1	478	0.54
ENST00000412797.1	ENSG00000225643.1	AL606491.1	483	0.588
ENST00000436991.1	ENSG00000233478.1	AL031280.1	2224	0.555
ENST00000606617.1	ENSG00000272478.1	AL020996.3	222	0.455
ENST00000455431.1	ENSG00000236528.1	AL033528.3	849	0.561
ENST00000384572.1	ENSG00000207302.1	AL033528.1	110	0.418
ENST00000440710.1	ENSG00000229786.1	SNRPFP2	251	0.434
ENST00000453780.1	ENSG00000223624.1	AL033528.2	140	0.414
ENST00000580971.1	ENSG00000283938.1	MIR3917	93	0.71
ENST00000384508.1	ENSG00000207237.1	RNU6-110P	104	0.423
ENST00000516381.1	ENSG00000252190.1	AL592064.1	125	0.52
ENST00000516882.1	ENSG00000252691.1	AL592064.2	84	0.524
ENST00000640097.1	ENSG00000284309.1	AL391650.2	941	0.522
ENST00000374268.5	ENSG00000197245.6	FAM110D	2799	0.6
ENST00000622820.1	ENSG00000278572.1	AL355877.2	899	0.527
ENST00000603670.1	ENSG00000270733.1	AL355877.1	358	0.433
ENST00000434718.2	ENSG00000225854.2	AL451139.1	346	0.448
ENST00000446498.1	ENSG00000223583.1	AL513365.1	535	0.439
ENST00000418220.1	ENSG00000224129.1	DPPA2P2	897	0.441
ENST00000459548.1	ENSG00000238705.1	MIR1976	52	0.615
ENST00000497096.3	ENSG00000243905.3	RN7SL679P	304	0.546
ENST00000516993.1	ENSG00000252802.1	Y_RNA	102	0.441
ENST00000516620.2	ENSG00000252429.2	RNU7-29P	64	0.344
ENST00000428860.2	ENSG00000229247.2	AL627313.1	238	0.534
ENST00000459201.1	ENSG00000238316.1	AL627082.2	104	0.385
ENST00000443847.2	ENSG00000235069.2	AL627082.1	235	0.54
ENST00000569378.1	ENSG00000260063.1	AL512408.1	2000	0.509
ENST00000477476.3	ENSG00000241188.3	RN7SL165P	291	0.502
ENST00000656287.1	ENSG00000287810.1	AL034380.2	177	0.774
ENST00000339276.6	ENSG00000175793.12	SFN	1308	0.628
ENST00000448791.1	ENSG00000226698.1	AL034380.1	306	0.408
ENST00000254227.4	ENSG00000131910.5	NR0B2	1165	0.593
ENST00000310055.5	ENSG00000172746.6	RPL12P13	497	0.495
ENST00000455684.1	ENSG00000224064.1	AL356390.1	397	0.469
ENST00000437956.1	ENSG00000225294.1	OSTCP2	444	0.421
ENST00000289166.6	ENSG00000158246.8	TENT5B	2382	0.626
ENST00000457038.1	ENSG00000229985.2	AL590640.2	527	0.588
ENST00000446783.1	ENSG00000214973.3	CHCHD3P3	640	0.508
ENST00000449818.1	ENSG00000225159.1	NPM1P39	867	0.414
ENST00000438350.2	ENSG00000225990.2	SNRPEP7	220	0.409
ENST00000425205.1	ENSG00000224311.1	AL590640.1	379	0.549
ENST00000516289.1	ENSG00000252098.1	Y_RNA	104	0.394
ENST00000428741.2	ENSG00000243659.1	FO393419.3	282	0.39
ENST00000384161.1	ENSG00000206888.1	RNU6-48P	107	0.458
ENST00000486001.1	ENSG00000241547.1	ACTG1P20	468	0.556
ENST00000443746.1	ENSG00000231207.1	FO393419.1	355	0.403
ENST00000374024.4	ENSG00000181773.7	GPR3	2137	0.565
ENST00000492975.1	ENSG00000241169.1	FO393419.2	428	0.371
ENST00000443579.1	ENSG00000237429.1	BX293535.1	283	0.527
ENST00000433132.1	ENSG00000235912.1	AL031729.1	192	0.536
ENST00000440492.1	ENSG00000233975.1	LINC02574	441	0.488
ENST00000384040.1	ENSG00000206767.1	RNU6-949P	107	0.402
ENST00000445563.2	ENSG00000226662.2	CHMP1AP1	662	0.562
ENST00000384367.1	ENSG00000207095.1	RNU6-424P	105	0.362
ENST00000662905.1	ENSG00000287244.1	AL020997.5	935	0.551
ENST00000446554.1	ENSG00000231344.1	AL020997.1	349	0.43
ENST00000425462.1	ENSG00000230833.1	RPEP3	676	0.46
ENST00000602607.1	ENSG00000269971.1	AL020997.2	184	0.418
ENST00000602843.1	ENSG00000270031.1	AL020997.3	359	0.337
ENST00000411130.1	ENSG00000223062.1	RNU6-1245P	106	0.453
ENST00000660844.1	ENSG00000286433.1	AL020997.4	1471	0.458
ENST00000517138.1	ENSG00000252947.1	SCARNA1	166	0.404
ENST00000448015.1	ENSG00000227050.1	AL512288.1	491	0.554
ENST00000426041.2	ENSG00000238231.2	AL512288.2	367	0.515
ENST00000476501.3	ENSG00000240750.3	RN7SL559P	297	0.552
ENST00000436160.1	ENSG00000228589.3	SPCS2P4	681	0.46
ENST00000443484.1	ENSG00000228943.1	AL137792.2	235	0.413
ENST00000399029.3	ENSG00000214812.3	AL137792.1	557	0.451
ENST00000517196.1	ENSG00000253005.1	RNU6-176P	105	0.381
ENST00000604716.1	ENSG00000270605.1	AL353622.1	1945	0.416
ENST00000605846.1	ENSG00000271398.1	AL353622.2	425	0.555
ENST00000253063.4	ENSG00000130766.5	SESN2	3462	0.596
ENST00000384052.1	ENSG00000206779.1	Y_RNA	101	0.436
ENST00000438601.2	ENSG00000229820.2	CR391992.1	394	0.437
ENST00000408289.1	ENSG00000221216.1	RNU6ATAC27P	119	0.471
ENST00000364938.1	ENSG00000274266.1	SNORA73A	206	0.563
ENST00000363217.1	ENSG00000200087.1	SNORA73B	204	0.549
ENST00000447051.2	ENSG00000231468.2	PRDX3P2	611	0.46
ENST00000624273.1	ENSG00000279443.1	AL513497.1	2083	0.464
ENST00000408612.1	ENSG00000221539.1	SNORD99	74	0.473
ENST00000384581.1	ENSG00000278274.1	SNORA61	130	0.454
ENST00000384584.1	ENSG00000273544.1	SNORA44	132	0.508
ENST00000628458.1	ENSG00000280498.1	SNORA16A	135	0.481
ENST00000384342.2	ENSG00000274582.1	SNORA16A	137	0.489
ENST00000602813.1	ENSG00000270103.3	AL360012.1	131	0.519
ENST00000387069.1	ENSG00000274978.1	RNU11	134	0.515
ENST00000516968.1	ENSG00000252777.1	AL645729.1	130	0.346
ENST00000418471.1	ENSG00000233427.1	AL009181.1	1085	0.541
ENST00000362886.1	ENSG00000199756.1	Y_RNA	110	0.373
ENST00000425821.2	ENSG00000225616.2	AL138785.1	331	0.483
ENST00000383977.1	ENSG00000206704.1	Y_RNA	101	0.455
ENST00000619772.1	ENSG00000277958.1	Metazoa_SRP	282	0.567
ENST00000413004.1	ENSG00000225750.1	AL357500.1	279	0.459
ENST00000611385.1	ENSG00000277916.1	AL357500.2	169	0.438
ENST00000427046.1	ENSG00000237934.1	AL590729.1	573	0.482
ENST00000417651.1	ENSG00000230523.1	LINC01756	2148	0.535
ENST00000515851.1	ENSG00000225011.4	AL671862.1	349	0.616
ENST00000422638.1	ENSG00000228176.1	AC092265.1	498	0.538
ENST00000641702.1	ENSG00000284676.1	AL645944.2	1953	0.541
ENST00000603857.1	ENSG00000270927.1	AL645944.1	493	0.432
ENST00000445180.2	ENSG00000233399.2	LINC01648	1519	0.498
ENST00000441046.1	ENSG00000233372.1	AL137076.1	551	0.479
ENST00000442774.1	ENSG00000231251.1	AL021921.1	93	0.516
ENST00000427319.1	ENSG00000236335.1	AL161638.2	507	0.505
ENST00000420354.1	ENSG00000231949.1	AL161638.1	481	0.52
ENST00000655364.1	ENSG00000287510.1	AL137857.1	1077	0.46
ENST00000583944.1	ENSG00000264773.1	MIR4420	77	0.494
ENST00000440358.1	ENSG00000229607.1	AL137027.1	444	0.525
ENST00000410852.1	ENSG00000222784.1	RN7SKP91	288	0.524
ENST00000431202.1	ENSG00000235143.1	AL445235.1	1747	0.516
ENST00000578099.2	ENSG00000266210.2	RN7SL371P	267	0.517
ENST00000417263.2	ENSG00000237329.2	AL356320.2	507	0.385
ENST00000429616.1	ENSG00000232768.1	AL356320.1	163	0.466
ENST00000322792.5	ENSG00000215900.4	SELENOWP1	252	0.492
ENST00000441274.2	ENSG00000225142.2	AC114495.1	436	0.438
ENST00000452686.2	ENSG00000229447.2	AC114495.2	437	0.391
ENST00000430143.1	ENSG00000229044.1	AL451070.1	439	0.446
ENST00000401075.3	ENSG00000215899.3	AC209007.1	1342	0.467
ENST00000384254.1	ENSG00000206981.1	RNU6-40P	107	0.458
ENST00000578934.1	ENSG00000265961.1	Y_RNA	114	0.421
ENST00000581333.1	ENSG00000264078.1	AC114488.2	480	0.521
ENST00000581063.1	ENSG00000266580.1	MIR4254	76	0.658
ENST00000527035.1	ENSG00000254545.1	AL354919.2	537	0.654
ENST00000453837.1	ENSG00000203620.2	AL354919.1	2257	0.508
ENST00000602889.1	ENSG00000269967.1	AL136115.2	587	0.39
ENST00000447478.1	ENSG00000228634.1	AL136115.1	517	0.433
ENST00000641788.1	ENSG00000284702.1	AL136115.3	1873	0.487
ENST00000366152.3	ENSG00000203325.3	AL445248.1	624	0.511
ENST00000577515.1	ENSG00000266203.1	MIR5585	59	0.508
ENST00000613387.1	ENSG00000276493.1	Metazoa_SRP	291	0.519
ENST00000515055.1	ENSG00000250135.1	AL049795.2	667	0.504
ENST00000373582.4	ENSG00000183615.6	FAM167B	947	0.631
ENST00000615681.1	ENSG00000277617.1	Metazoa_SRP	260	0.531
ENST00000516641.1	ENSG00000252450.1	Y_RNA	110	0.391
ENST00000329421.8	ENSG00000175130.7	MARCKSL1	1546	0.581
ENST00000448134.1	ENSG00000233775.1	AL109945.1	687	0.539
ENST00000444107.1	ENSG00000224333.1	GAPDHP20	1007	0.492
ENST00000604085.1	ENSG00000270850.1	AL356986.1	341	0.463
ENST00000454917.1	ENSG00000229259.1	LRRC37A12P	1801	0.518
ENST00000579362.2	ENSG00000263529.2	RN7SL122P	301	0.528
ENST00000480336.1	ENSG00000254553.1	AL033529.1	3447	0.485
ENST00000609129.2	ENSG00000273274.2	ZBTB8B	12831	0.434
ENST00000363721.1	ENSG00000200591.1	AC114489.1	102	0.382
ENST00000421619.1	ENSG00000224409.1	AC114489.2	395	0.562
ENST00000661031.1	ENSG00000287691.1	AL031602.2	575	0.529
ENST00000401937.3	ENSG00000217644.5	AL355864.1	526	0.544
ENST00000447420.1	ENSG00000239670.1	AL355864.2	863	0.553
ENST00000427524.1	ENSG00000236065.2	AL020995.1	1680	0.427
ENST00000610352.1	ENSG00000276645.1	Metazoa_SRP	345	0.499
ENST00000622988.1	ENSG00000278997.1	AL662907.1	1360	0.491
ENST00000624339.1	ENSG00000279179.1	AL662907.2	3448	0.54
ENST00000602618.1	ENSG00000270115.1	AL513327.2	469	0.482
ENST00000442999.3	ENSG00000184389.9	A3GALT2	1023	0.667
ENST00000583214.3	ENSG00000284154.1	MIR3605	100	0.55
ENST00000410180.1	ENSG00000222112.1	RN7SKP16	299	0.542
ENST00000432703.1	ENSG00000233246.1	PHC2-AS1	490	0.512
ENST00000413515.1	ENSG00000234512.1	TLR12P	2706	0.563
ENST00000424879.2	ENSG00000235907.2	AC115285.1	736	0.394
ENST00000432666.2	ENSG00000227000.2	HSPD1P14	1618	0.399
ENST00000364278.1	ENSG00000201148.1	RNA5SP42	115	0.496
ENST00000604298.1	ENSG00000270241.1	AC115286.1	434	0.456
ENST00000666642.1	ENSG00000287703.1	AC099565.1	1426	0.483
ENST00000385206.1	ENSG00000207941.1	MIR552	96	0.375
ENST00000338513.1	ENSG00000189280.3	GJB5	1355	0.568
ENST00000339480.3	ENSG00000189433.7	GJB4	1444	0.571
ENST00000542839.1	ENSG00000255811.1	AL121988.1	560	0.591
ENST00000429293.1	ENSG00000230163.1	AL122010.1	720	0.49
ENST00000417456.1	ENSG00000284773.1	AC114490.3	3163	0.525
ENST00000487874.1	ENSG00000271741.1	AC114490.2	3099	0.427
ENST00000373337.3	ENSG00000243749.1	TMEM35B	922	0.465
ENST00000428087.1	ENSG00000233940.1	RPL12P45	478	0.46
ENST00000442409.1	ENSG00000228348.1	EFCAB14P1	463	0.469
ENST00000641402.1	ENSG00000284640.1	AL590434.1	1886	0.432
ENST00000364998.1	ENSG00000201868.1	Y_RNA	94	0.447
ENST00000475222.3	ENSG00000240374.3	RN7SL503P	303	0.535
ENST00000364672.1	ENSG00000201542.1	SNORA62	152	0.362
ENST00000434805.1	ENSG00000229994.1	RPL5P4	886	0.428
ENST00000432683.1	ENSG00000227409.1	ZMYM4-AS1	459	0.368
ENST00000610617.1	ENSG00000278702.1	Metazoa_SRP	323	0.483
ENST00000442276.1	ENSG00000236274.1	AC004865.1	1003	0.388
ENST00000373226.2	ENSG00000232335.1	AL354864.1	539	0.388
ENST00000604465.1	ENSG00000271164.1	CFAP97P1	483	0.416
ENST00000655341.1	ENSG00000286899.1	AL139286.2	1802	0.393
ENST00000606838.1	ENSG00000271914.1	AL139286.1	396	0.318
ENST00000373178.5	ENSG00000116863.11	ADPRS	1651	0.588
ENST00000579043.2	ENSG00000264592.2	RN7SL131P	256	0.57
ENST00000447495.1	ENSG00000231849.1	UBE2V2P4	259	0.355
ENST00000657488.1	ENSG00000286379.1	AL591845.1	4878	0.499
ENST00000410889.1	ENSG00000222821.1	RNU4-27P	139	0.403
ENST00000364578.1	ENSG00000201448.1	SNORA63C	129	0.403
ENST00000453860.1	ENSG00000230214.1	FTLP18	523	0.524
ENST00000641463.1	ENSG00000284705.1	AL596257.1	2694	0.538
ENST00000642109.1	ENSG00000284720.1	AC117945.2	1521	0.506
ENST00000642067.1	ENSG00000284650.1	AL031430.1	1039	0.43
ENST00000579351.1	ENSG00000264698.1	MIR4255	72	0.472
ENST00000384598.1	ENSG00000207328.1	RNU6-636P	107	0.355
ENST00000516559.1	ENSG00000252368.1	RNA5SP43	110	0.464
ENST00000438196.2	ENSG00000230451.2	RPS29P6	145	0.524
ENST00000619365.1	ENSG00000283724.1	MIR6732	60	0.667
ENST00000580821.1	ENSG00000263675.1	MIR5581	60	0.483
ENST00000437933.1	ENSG00000232273.1	FTH1P1	532	0.487
ENST00000423216.2	ENSG00000237749.4	AL034379.1	253	0.498
ENST00000641190.1	ENSG00000284748.1	AL513220.1	1326	0.518
ENST00000363551.1	ENSG00000200421.1	Y_RNA	100	0.41
ENST00000473049.1	ENSG00000214141.4	ACTN4P2	1892	0.536
ENST00000417484.1	ENSG00000227416.2	AL929472.1	429	0.541
ENST00000433474.1	ENSG00000233728.1	AL929472.3	700	0.524
ENST00000373044.3	ENSG00000196449.4	YRDC	1848	0.53
ENST00000447422.1	ENSG00000235673.1	AL929472.4	691	0.556
ENST00000419993.1	ENSG00000230955.1	AL929472.2	481	0.468
ENST00000516639.1	ENSG00000252448.1	SNORA63	81	0.37
ENST00000410350.1	ENSG00000222282.1	RNU6-584P	95	0.347
ENST00000616313.1	ENSG00000277168.1	Metazoa_SRP	273	0.582
ENST00000391239.1	ENSG00000212541.1	RNU6-510P	108	0.38
ENST00000373012.5	ENSG00000185668.8	POU3F1	2965	0.631
ENST00000424719.2	ENSG00000223589.2	AL139158.1	340	0.429
ENST00000582606.1	ENSG00000265596.1	MIR3659	99	0.475
ENST00000641212.1	ENSG00000284623.1	LINC02786	1562	0.559
ENST00000655033.1	ENSG00000286552.1	AL390839.1	1033	0.463
ENST00000671301.1	ENSG00000287987.1	AL390839.2	1235	0.516
ENST00000611376.1	ENSG00000275350.1	AL513479.1	585	0.475
ENST00000363926.1	ENSG00000200796.1	RNU6-753P	107	0.364
ENST00000442006.2	ENSG00000215895.4	HSPA5P1	1960	0.464
ENST00000622355.1	ENSG00000273637.1	AL139260.2	2171	0.428
ENST00000363093.1	ENSG00000199963.1	RNU6-605P	108	0.407
ENST00000384735.1	ENSG00000207466.1	Y_RNA	101	0.446
ENST00000428233.1	ENSG00000235549.1	EIF1P2	350	0.406
ENST00000383927.1	ENSG00000206654.1	RNU6-608P	104	0.423
ENST00000410446.1	ENSG00000222378.1	RNA5SP44	133	0.526
ENST00000669616.1	ENSG00000287422.1	AL442071.2	1941	0.401
ENST00000289890.7	ENSG00000226438.1	AL442071.1	558	0.423
ENST00000406997.2	ENSG00000217897.2	HSPE1P8	288	0.417
ENST00000331593.6	ENSG00000183682.8	BMP8A	5636	0.575
ENST00000447263.1	ENSG00000237624.1	OXCT2P1	1535	0.633
ENST00000364587.1	ENSG00000201457.1	SNORA55	135	0.519
ENST00000372852.4	ENSG00000163909.8	HEYL	4077	0.559
ENST00000424418.1	ENSG00000225903.1	AL035404.2	304	0.507
ENST00000235628.1	ENSG00000116981.3	NT5C1A	1107	0.6
ENST00000497982.2	ENSG00000225333.6	AL035404.1	568	0.408
ENST00000516604.1	ENSG00000252413.1	RNU7-121P	62	0.323
ENST00000372827.8	ENSG00000116985.12	BMP8B	4826	0.561
ENST00000327582.5	ENSG00000198754.5	OXCT2	1826	0.634
ENST00000648746.1	ENSG00000285905.1	BMP8B-AS1	1218	0.519
ENST00000566366.1	ENSG00000261798.1	AL033527.2	1196	0.641
ENST00000446772.1	ENSG00000229213.1	AL033527.1	154	0.539
ENST00000641026.1	ENSG00000284678.1	LINC02811	673	0.499
ENST00000365352.1	ENSG00000202222.1	Y_RNA	113	0.416
ENST00000418255.1	ENSG00000236546.1	MYCL-AS1	785	0.508
ENST00000384626.1	ENSG00000207356.1	Y_RNA	109	0.44
ENST00000438210.1	ENSG00000228477.1	AL663070.1	725	0.577
ENST00000430724.2	ENSG00000226745.2	OAZ1P1	685	0.597
ENST00000372771.5	ENSG00000117000.9	RLF	6232	0.398
ENST00000384777.1	ENSG00000207508.1	RNU6-1237P	107	0.383
ENST00000567508.1	ENSG00000259943.1	AL050341.2	1541	0.404
ENST00000447743.1	ENSG00000231296.1	AL050341.1	313	0.374
ENST00000600955.1	ENSG00000227311.3	AL031985.2	480	0.431
ENST00000392713.3	ENSG00000213172.3	AL031985.1	418	0.455
ENST00000642138.1	ENSG00000284677.1	AL031985.4	673	0.532
ENST00000565390.2	ENSG00000260920.2	AL031985.3	2449	0.379
ENST00000624658.1	ENSG00000279667.1	AL603839.4	1005	0.367
ENST00000450713.1	ENSG00000238287.1	AL603839.3	605	0.395
ENST00000453437.1	ENSG00000227278.1	AL603839.1	432	0.47
ENST00000437060.1	ENSG00000238186.1	AL603839.2	546	0.403
ENST00000666986.1	ENSG00000286838.1	AL356379.2	720	0.415
ENST00000414105.1	ENSG00000236505.1	AL356379.1	126	0.484
ENST00000445825.1	ENSG00000233910.1	GTF2F2P2	721	0.463
ENST00000658681.1	ENSG00000287743.1	AL031289.2	1672	0.51
ENST00000440100.1	ENSG00000237899.1	AL031289.1	471	0.52
ENST00000606277.1	ENSG00000272145.1	NFYC-AS1	1687	0.496
ENST00000362104.3	ENSG00000198974.3	MIR30E	92	0.511
ENST00000385227.1	ENSG00000207962.1	MIR30C1	89	0.506
ENST00000477493.3	ENSG00000264582.2	RN7SL326P	296	0.53
ENST00000372638.4	ENSG00000179862.7	CITED4	1310	0.735
ENST00000414199.1	ENSG00000229528.1	AC119677.1	471	0.493
ENST00000413739.1	ENSG00000228940.1	AL391730.1	921	0.431
ENST00000653821.1	ENSG00000286668.1	AL391730.2	1354	0.477
ENST00000437166.2	ENSG00000233118.2	UBE2V1P8	265	0.381
ENST00000626479.1	ENSG00000281207.1	SLFNL1-AS1	4800	0.562
ENST00000401064.3	ENSG00000215893.3	RPL23AP17	499	0.505
ENST00000657314.1	ENSG00000287400.1	AC093151.7	4437	0.362
ENST00000427711.2	ENSG00000213987.4	AC093151.1	313	0.46
ENST00000429109.1	ENSG00000229901.1	FOXO6-AS1	394	0.5
ENST00000516754.1	ENSG00000252563.1	RNA5SP45	92	0.533
ENST00000440249.1	ENSG00000230881.1	AL445933.2	265	0.577
ENST00000434240.2	ENSG00000230638.4	AL445933.1	2242	0.5
ENST00000646142.1	ENSG00000284895.1	AC119676.1	81	0.481
ENST00000670076.1	ENSG00000287587.1	AL158216.1	1188	0.468
ENST00000391730.2	ENSG00000227538.1	HNRNPFP1	1133	0.579
ENST00000434936.2	ENSG00000228776.2	AC114492.1	454	0.427
ENST00000372581.2	ENSG00000044012.4	GUCA2B	604	0.629
ENST00000357001.3	ENSG00000197273.4	GUCA2A	597	0.591
ENST00000436207.2	ENSG00000227527.2	AC096540.1	661	0.483
ENST00000411908.1	ENSG00000235002.1	AL513331.1	397	0.436
ENST00000426743.1	ENSG00000230116.1	RPS3AP11	755	0.399
ENST00000424567.1	ENSG00000236876.3	TMSB4XP1	135	0.43
ENST00000363384.1	ENSG00000200254.1	RNU6-536P	107	0.411
ENST00000454425.2	ENSG00000236180.2	AL445669.1	421	0.368
ENST00000414339.2	ENSG00000234917.2	AC098484.2	601	0.434
ENST00000447572.1	ENSG00000228452.1	AC098484.1	484	0.457
ENST00000448759.1	ENSG00000233708.1	AL512353.2	1962	0.63
ENST00000417517.1	ENSG00000237090.1	AL512353.3	1326	0.472
ENST00000439215.1	ENSG00000225099.1	ATP6V1E1P1	681	0.427
ENST00000639582.1	ENSG00000284138.1	ATP6V0CP4	440	0.582
ENST00000384526.1	ENSG00000207256.1	RNU6-880P	107	0.411
ENST00000636464.1	ENSG00000283136.1	AL161637.2	89	0.371
ENST00000622380.1	ENSG00000277513.1	AL161637.1	412	0.449
ENST00000635723.1	ENSG00000284410.1	MIR6733	61	0.475
ENST00000362370.1	ENSG00000199240.1	RNA5SP46	120	0.475
ENST00000671634.1	ENSG00000287113.1	AL139289.2	557	0.557
ENST00000424948.1	ENSG00000234694.1	AL139289.1	661	0.552
ENST00000621166.1	ENSG00000283836.1	MIR6734	68	0.529
ENST00000436713.1	ENSG00000229431.1	MED8-AS1	731	0.458
ENST00000396885.2	ENSG00000229372.1	SZT2-AS1	699	0.615
ENST00000615179.1	ENSG00000274975.1	MIR6735	73	0.63
ENST00000444386.1	ENSG00000229348.1	HYI-AS1	545	0.398
ENST00000645057.1	ENSG00000284989.1	AL451062.3	4037	0.531
ENST00000437753.1	ENSG00000229444.1	AL451062.1	469	0.469
ENST00000637979.1	ENSG00000283414.1	U6	90	0.356
ENST00000427515.2	ENSG00000233674.2	AL451062.2	271	0.446
ENST00000635807.1	ENSG00000283477.1	MIR6079	62	0.452
ENST00000419974.2	ENSG00000224751.2	SHMT1P1	1312	0.537
ENST00000657883.1	ENSG00000237950.3	AL357079.1	2224	0.493
ENST00000647729.1	ENSG00000285649.1	AL357079.2	2044	0.527
ENST00000436802.2	ENSG00000227163.2	AL139220.1	520	0.494
ENST00000604727.1	ENSG00000271647.1	KRT8P47	1398	0.592
ENST00000472003.3	ENSG00000239560.3	RN7SL479P	300	0.547
ENST00000402743.2	ENSG00000233514.1	AL356653.1	360	0.444
ENST00000634670.1	ENSG00000283039.1	KLF18	3159	0.544
ENST00000451975.2	ENSG00000226804.4	AL359839.1	1160	0.422
ENST00000363301.1	ENSG00000200171.1	Y_RNA	96	0.448
ENST00000423265.1	ENSG00000238037.1	OOSP1P1	274	0.405
ENST00000442754.1	ENSG00000227994.1	AL035417.1	214	0.64
ENST00000603887.1	ENSG00000271329.1	AL035417.2	796	0.42
ENST00000414156.1	ENSG00000233602.1	ERI3-IT1	619	0.517
ENST00000362515.1	ENSG00000199385.1	RNU6-369P	102	0.422
ENST00000581357.1	ENSG00000263381.1	MIR5584	60	0.417
ENST00000362507.1	ENSG00000199377.1	RNU5F-1	117	0.35
ENST00000363299.1	ENSG00000200169.1	RNU5D-1	116	0.379
ENST00000581525.1	ENSG00000264294.1	SNORD55	80	0.588
ENST00000364043.1	ENSG00000200913.1	SNORD46	104	0.481
ENST00000365161.1	ENSG00000202031.1	SNORD38A	70	0.471
ENST00000384690.1	ENSG00000207421.1	SNORD38B	67	0.403
ENST00000625943.1	ENSG00000281859.1	SNORD38B	69	0.406
ENST00000594193.1	ENSG00000234093.3	RPS15AP11	385	0.465
ENST00000372207.4	ENSG00000142959.5	BEST4	2512	0.582
ENST00000365574.1	ENSG00000202444.1	RNU5E-6P	115	0.374
ENST00000447970.1	ENSG00000226499.1	AL136380.1	162	0.537
ENST00000517230.1	ENSG00000253039.1	RNA5SP47	109	0.45
ENST00000428976.1	ENSG00000229815.1	CCNB1IP1P1	839	0.431
ENST00000411837.1	ENSG00000232369.1	PPIAP35	492	0.5
ENST00000596009.1	ENSG00000268949.1	MRPS17P1	3130	0.418
ENST00000425293.1	ENSG00000234315.1	OSTCP5	453	0.437
ENST00000626198.1	ENSG00000281912.1	LINC01144	1710	0.569
ENST00000334815.5	ENSG00000186603.6	HPDL	1785	0.608
ENST00000671898.1	ENSG00000288208.1	AL451136.1	2768	0.574
ENST00000435399.1	ENSG00000236872.1	PPIAP36	325	0.483
